,year,jan,feb,mar,april,may,june,july,aug,sept,oct,nov,dec,total
97,1998,0.0,0.0,0.0,0.0,0.0,412.5590918,575.7706877,651.5636494,398.6452177,230.780357884,21.37636121,0.0,2403.908868
98,1999,0.0,0.152298078,0.0,0.0,10.520805345,534.1499592,474.6121993,176.3790047,360.98685,125.5191782,0.0,0.0,1753.378985
99,2000,0.0,0.0,0.0,0.0,10.520805345,355.0052309,1153.879456,602.147194,111.6963857,18.68784475,0.0,0.4403726,2485.440171
100,2001,0.0,0.0,0.0,0.485413485,10.520805345,472.2390967,585.1833284,399.4605456,91.30013934,73.024344,0.0,0.0,1638.828123
101,2002,0.0,0.0,0.0,0.0,1.661490381,441.050956,103.2091943,620.1884971,126.2663366,0.533043206,0.0,0.352298081,1304.579575
102,2003,0.0,0.38074519500000004,0.0,0.0,0.0,704.4380687,794.2246659,339.6660274,279.4595129,6.312673569,0.0,0.0,2126.054987
103,2004,0.0,0.0,0.0,0.485413485,10.520805345,291.5987355,820.8221596,874.3235345,174.8487108,37.85255654,1.930686921,0.0,2252.020426
104,2005,0.0,0.0,0.0,0.0,0.121405542,505.1636638,983.662006,492.0897846,657.5597372,38.22241938,0.0,0.0,2677.355204
105,2006,0.0,0.0,0.0,0.0,10.520805345,454.1586226,1007.717168,762.1972833,256.2436442,215.0378478,6.764516354,0.0,2784.25003
106,2007,0.0,0.0,0.0,0.0,10.520805345,611.9908005,805.5967058,669.478493,500.8463497,0.54603225,0.0,0.0,2802.963772
107,2008,0.0,0.0,0.0,0.0,1.017632604,702.8074578,930.2256041,501.2030616,288.7203848,41.27416098,0.0,0.0,2465.248302
108,2009,0.0,0.0,0.0,0.0,1.407685637,245.2634965,880.5515956,216.6077769,465.4940087,180.275532,23.432884625,0.0,2095.819672
109,2010,0.0,0.0,0.0,0.485413485,0.0,790.4902483,1135.245428,924.9704751,300.2595646,89.03399028,23.432884625,0.0,3288.784218
110,2011,0.0,0.0,0.0,0.0,0.268853575,550.4139376,1337.720941,833.2309902,300.389805,85.47188158,0.0,0.0,3107.496409
111,2012,0.0,0.0,0.0,0.0,0.0,228.6277839,537.5753856,598.2533399,493.7362538,104.8371247,0.0,0.0,1963.029888
112,2013,0.0,0.0,0.0,0.0,2.296849728,1048.49304,1021.239954,264.4682936,256.6817358,61.885023,3.542512074,0.26068452,2658.868093
113,2014,0.0,0.38074519500000004,0.0,0.0,0.0,61.05866189,1358.833554,448.2088257,320.7343544,37.69849342,4.805495977,0.4403726,2251.097732
114,2015,0.0,0.0,0.0,0.485413485,1.146466374,931.0952232,329.2418017,193.1402187,219.4608938,67.33529718,1.635962784,0.0,1756.808522
115,2016,0.0,0.0,0.0,0.0,1.714244768,580.586157,830.1761922,544.1537029,731.2968402,82.12827992,0.0,0.0,2774.898359
116,2017,0.0,0.0,0.0,0.0,1.043890387,584.9467484,702.3865944,796.9970459,539.932782,102.1081349,0.0,0.4403726,2807.100642
117,2018,0.0,0.0,0.0,0.0,0.0,846.8559874,913.4704611,228.5904198,78.93594389,13.3545742,8.939212203,0.0,2090.146599
118,2019,0.0,0.0,0.0,0.0,0.0,412.7637303,1302.466441,479.8346032,772.2367323999999,92.00844179,23.432884625,0.4403726,3333.056801
119,2020,0.0,0.0,0.0,0.0,0.0,439.8145693,1328.766631,1108.92794775,411.2476784,184.4583854,0.0,0.4403726,3563.259531
120,2021,0.0,0.38074519500000004,0.0,0.002233115,10.520805345,796.3072748,981.1466455,323.1998957,601.2475175,36.04043196,23.432884625,0.4403726,3073.784373
