year,jan,feb,mar,april,may,june,july,aug,sept,oct,nov,dec,total,post_monsoon,summer,winter,monsoon,classification,category
1946,0.0,-0.5797692290241545,0.0,-0.5781438617490843,1.818838387286812,-0.20371243355666876,-0.5026928011950348,0.07835053303420131,0.6327250082579949,-0.22043591958940795,1.8299372224688821,1.796575508108375,0.10920196908208178,0.03559052166648488,1.787425077461933,0.9601277210866757,-0.10940445444161238,1,2
1947,0.0,-0.5797692290241545,0.0,1.869065995013039,-0.7051201637454491,-1.6150095899513903,-0.4098421405437393,0.7792008291308449,1.1114391432581263,-0.3328920725174165,-0.6983502149263773,-0.5853889018316827,-0.2245872656580611,-0.42705577026030456,-0.6148376429301472,-0.8086405688026457,-0.2389083288587101,1,1
1948,0.0,-0.5797692290241545,0.0,-0.5781438617490843,-0.7051201637454491,-1.0371955773976163,0.14727085577770233,-0.10726877821781826,0.014180581869829553,-0.7320440601521915,1.8299372224688821,-0.5853889018316827,-0.3297388855110243,-0.4716716289050489,-0.7310354691096125,-0.8086405688026457,-0.48864021740803815,1,1
1949,0.0,-0.5797692290241545,0.0,-0.5781438617490843,1.818838387286812,-0.2679535932222157,0.06542210919070998,-0.4895868200075378,2.4259890569818574,-0.27613537990432907,-0.6983502149263773,-0.5853889018316827,0.9289118592496003,-0.3707812123094248,1.787425077461933,-0.8086405688026457,0.6020691209024982,1,3
1950,0.0,-0.5797692290241545,0.0,-0.5781438617490843,-0.17058959379646588,-1.44517719945255,0.038315816092105916,-1.4108353248567105,1.8793817826001886,-0.6637380334276721,-0.5811623756359209,-0.5853889018316827,-0.8105596247380428,-0.7388154441184122,-0.19766928098328887,-0.8086405688026457,-0.6791211646348156,1,0
1951,0.0,-0.5797692290241545,0.0,1.869065995013039,1.818838387286812,-0.1243101248388998,0.4061913480581868,-0.9460971369739278,-1.2841548045810338,0.498992752259441,0.1524161749289824,-0.5853889018316827,-0.7120667309576814,0.5159225022595866,1.9036229036413983,-0.8086405688026457,-0.7953201687837617,1,0
1952,0.0,-0.5797692290241545,0.0,-0.5781438617490843,-0.7051201637454491,0.5673848419530465,0.20637076539746382,-1.1555297176311754,-1.1878634582569918,-0.08176338771980483,-0.6983502149263773,-0.5853889018316827,-0.6951921120247233,-0.17806036416589258,-0.7310354691096125,-0.8086405688026457,-0.6261620551209712,1,0
1953,0.0,-0.5797692290241545,0.0,1.869065995013039,-0.7051201637454491,1.4047892875379333,0.8309281963242188,-0.403492831857751,-0.913736008443282,0.04836100849877988,-0.6983502149263773,-0.5853889018316827,0.49983374629360516,-0.049041343876160985,-0.6148376429301472,-0.8086405688026457,0.6384500875332585,1,2
1954,0.0,1.7912039585162693,0.0,1.869065995013039,-0.7051201637454491,0.22550547991183556,1.9050584562806736,1.6025003958540234,2.0470562269533428,-0.30198380758053633,-0.6983502149263773,1.796575508108375,2.481564444268875,-0.39641006371413884,-0.6148376429301472,2.4894009489026803,2.8041602218799957,2,3
1955,0.0,-0.5797692290241545,0.0,-0.5781438617490843,-0.4710819519120899,-0.5339513797519045,-0.9090744014416405,2.123028341178442,-0.2369296335534607,2.2457349545199485,-0.34046302597979744,-0.5853889018316827,0.33370794834272655,2.179372191403584,-0.4975070687912291,-0.8086405688026457,0.1621309333199473,1,2
1956,0.0,-0.5797692290241545,0.0,-0.5781438617490843,1.818838387286812,0.754381127709295,0.3400452978875123,0.17546047100837295,1.2691916912355166,0.5570990889895214,0.397381026950542,-0.5853889018316827,1.1752039715907594,0.6075575924111963,1.787425077461933,-0.8086405688026457,1.1592319435558809,1,3
1957,0.0,-0.5797692290241545,0.0,-0.5781438617490843,1.818838387286812,-0.9316856875711649,0.11411226270409656,0.7900412950019166,-1.2748121373739592,-0.7738354400722571,1.8299372224688821,-0.5853889018316827,-0.5561248838367993,-0.5131080009500378,1.787425077461933,-0.8086405688026457,-0.5109780343608774,1,1
1958,0.0,-0.5797692290241545,0.0,-0.5781438617490843,-0.40738033663161516,1.244022305551319,0.4933462914651706,2.646826355280922,0.449293862916043,-0.981471187408074,-0.4521874479884105,-0.5853889018316827,2.0422731763946413,-1.0359366317646308,-0.433944216393696,-0.8086405688026457,2.400803192678919,2,3
1959,0.0,-0.5797692290241545,0.0,1.869065995013039,0.12907970638315924,-0.2858072274053228,0.6074046107980359,0.8147174180378192,-0.20357610545834126,2.5022201250855454,-0.6983502149263773,-0.5853889018316827,0.9153559764091042,2.383972820656299,0.21754506795659495,-0.8086405688026457,0.5302820118287852,1,3
1960,0.0,-0.5797692290241545,0.0,-0.5781438617490843,0.09392732486886222,2.1807412800385704,-0.6608517459003297,-0.7346830172113048,-1.0136909521720976,2.5022201250855454,-0.6983502149263773,0.8663196289469528,0.2252971605272571,2.383972820656299,0.06627143360841767,0.2693503552799202,-0.03310079847915175,1,2
1961,0.0,1.7912039585162693,0.0,0.5735712654105145,1.818838387286812,-0.5729837716902778,1.4689827073873183,-0.4345014104041915,-0.22163975079138373,0.4890102405353542,-0.6983502149263773,1.796575508108375,0.2638408551584667,0.38786467729207896,1.842110536407827,2.4894009489026803,0.25747546128501425,1,2
1962,0.0,1.7912039585162693,0.0,1.869065995013039,1.818838387286812,-1.778413018541058,-1.1222738510185721,-0.6535540059175111,-0.018892879548001604,-0.8868125064572148,0.8179100190779527,1.796575508108375,-1.816551632224656,-0.7656824439027577,1.9036229036413983,2.4894009489026803,-1.8818871935219967,1,0
1963,0.0,-0.5797692290241545,0.0,-0.5781438617490843,-0.7051201637454491,-0.45278236295757585,0.10889141869780329,2.2338223518097693,0.07401794601496124,-0.6586312994514077,-0.1100753406643302,-0.5853889018316827,0.7289935266631257,-0.668324380250173,-0.7310354691096125,-0.8086405688026457,0.9674896732475134,1,3
1964,0.0,-0.5797692290241545,0.0,-0.5781438617490843,-0.6135699784120023,0.4491082841927964,-0.909384504006039,0.1541400543102441,-0.22794269322316396,0.5504347742544374,-0.18187510706606383,-0.5853889018316827,-0.3137559638603248,0.5204989329121872,-0.6396847099225011,-0.8086405688026457,-0.31019178093862027,1,1
1965,0.0,-0.5797692290241545,0.0,1.869065995013039,-0.7051201637454491,0.47747124315744965,1.0136540513506105,-0.288016102602099,-1.2478953479902353,-0.9856884550372446,-0.35110308144215835,1.796575508108375,-0.014513306949525509,-1.0260788034693682,-0.6148376429301472,0.9601277210866757,0.20096026595087305,1,2
1966,0.0,-0.5797692290241545,0.0,-0.5781438617490843,0.17983449587419492,-0.8462368988310122,0.49456548919885446,-1.3758858905782856,-0.4387990947793777,-0.7335533081066801,-0.5593868016599887,-0.5853889018316827,-1.1087658180309068,-0.8050133175784184,0.15199147079207903,-0.8086405688026457,-0.9947700257732852,1,0
1967,0.0,-0.5797692290241545,0.0,-0.5781438617490843,-0.7051201637454491,0.9847473243922203,0.7525356599163284,-0.6591934353734419,-0.5445079266165447,-0.11019219466622635,-0.6983502149263773,1.796575508108375,0.3149340562468708,-0.20624767513002495,-0.7310354691096125,0.9601277210866757,0.39692234475037463,1,2
1968,0.0,-0.5797692290241545,0.0,-0.5781438617490843,-0.7051201637454491,-1.3106081265382596,-0.6616160435143816,-1.3260967248653655,-0.897124291812942,-0.32819466191806984,-0.5504606295803987,-0.5853889018316827,-2.0454300730357216,-0.4018583707576177,-0.7310354691096125,-0.8086405688026457,-2.052237277184416,0,0
1969,0.0,-0.5797692290241545,0.0,0.18966619949700306,-0.7051201637454491,-0.14139111173665656,-0.5215116599519982,-1.0405644279754926,0.3722432447563252,-0.9658624622387312,-0.20850698611935856,0.36739686214434036,-0.9050534000435867,-0.9866165307016488,-0.6945784975961189,-0.1011332528469171,-0.7435993887717335,1,0
1970,0.0,-0.5797692290241545,0.0,1.869065995013039,1.818838387286812,1.6011302060096888,-0.7324140473940425,1.0948656736542148,-0.03666033188995507,-0.057409104431246895,-0.6983502149263773,-0.5853889018316827,0.7996089668410609,-0.1539129647461091,1.9036229036413983,-0.8086405688026457,0.9164561264029722,1,3
1971,0.0,1.7912039585162693,0.0,-0.5781438617490843,1.818838387286812,2.2533145552984344,-1.4969696977363625,0.7762986980067733,0.19437319690534893,-0.6134127507322854,-0.6983502149263773,-0.5853889018316827,0.6298253535424583,-0.7051934917487238,1.787425077461933,0.7206326590133588,0.737398761243753,1,3
1972,0.0,1.7912039585162693,0.0,1.341381180453235,-0.48590079648150053,0.8207186483805952,-0.6318000083980178,-1.4175634148569851,-1.2102419378535538,-0.9830262191622782,1.8299372224688821,-0.5853889018316827,-1.1817847307565934,-0.7205217539137995,-0.42115120956926366,0.7206326590133588,-1.1206040485212985,1,0
